location,area_sqft,resale,no_of_bedrooms,nearby_school_1km,nearby_hospital_1km,nearby_mall_1km,nearby_gym_1km,swimmingpool,rainwaterharvesting,sportsfacility,powerbackup,carparking,childrens_playarea,liftavailable,price
perumbakkam,1067,0,3,0,0,0,0,0,0,0,1,0,1,1,4534000.0
perumbakkam,1036,0,2,0,0,0,0,0,0,0,1,0,1,1,4403000.0
rajakilpakkam,1423,0,3,0,0,0,0,0,0,0,0,0,0,0,7541000.0
rajakilpakkam,1222,0,3,0,0,0,0,0,0,0,0,0,0,0,6476000.0
rajakilpakkam,960,0,2,0,0,0,0,0,0,0,0,0,0,0,5088000.0
rajakilpakkam,883,0,2,0,0,0,0,0,0,0,0,0,0,0,4679000.0
sembakkam,1423,0,3,0,0,0,0,0,0,0,0,0,0,0,7541000.0
sembakkam,1222,0,3,0,0,0,0,0,0,0,0,0,0,0,6476000.0
sembakkam,960,0,2,0,0,0,0,0,0,0,0,0,0,0,5088000.0
sembakkam,883,0,2,0,0,0,0,0,0,0,0,0,0,0,4679000.0
selaiyur,1266,0,3,0,0,0,0,0,0,0,0,0,0,0,6140000.0
selaiyur,1103,0,3,0,0,0,0,0,0,0,0,0,0,0,5349000.0
selaiyur,1033,0,2,0,0,0,0,0,0,0,0,0,0,0,5010000.0
selaiyur,980,0,2,0,0,0,0,0,0,0,0,0,0,0,4753000.0
selaiyur,835,0,2,0,0,0,0,0,0,0,0,0,0,0,4049000.0
selaiyur,640,0,1,0,0,0,0,0,0,0,0,0,0,0,3104000.0
madambakkam,1400,0,3,0,0,0,0,0,0,0,0,0,0,0,6475000.0
madambakkam,1283,0,3,0,0,0,0,0,0,0,0,0,0,0,5933000.0
madambakkam,1189,0,3,0,0,0,0,0,0,0,0,0,0,0,5499000.0
madambakkam,1040,0,2,0,0,0,0,0,0,0,0,0,0,0,4810000.0
madambakkam,940,0,2,0,0,0,0,0,0,0,0,0,0,0,4347000.0
madambakkam,891,0,2,0,0,0,0,0,0,0,0,0,0,0,4120000.0
madambakkam,535,0,1,0,0,0,0,0,0,0,0,0,0,0,2474000.0
sembakkam,1285,0,3,0,0,0,0,0,0,0,0,0,0,0,6425000.0
villivakkam,1000,1,2,0,0,0,0,0,0,0,0,1,1,1,5800000.0
cholambedu,741,0,2,0,0,0,0,0,0,0,0,0,0,0,2852000.0
ambattur,946,0,2,0,0,0,0,0,0,0,0,0,0,0,5203000.0
ambattur,856,0,2,0,0,0,0,0,0,0,0,0,0,0,4708000.0
ambattur,967,0,2,0,0,0,0,0,0,0,0,0,0,0,5318000.0
ambattur,541,0,1,0,0,0,0,0,0,0,0,0,0,0,2975000.0
ambattur,426,0,1,0,0,0,0,0,0,0,0,0,0,0,2343000.0
ambattur,707,0,2,0,0,0,0,0,0,0,0,0,0,0,3888000.0
nanmangalam,660,0,1,0,0,0,0,0,0,0,0,0,0,0,3160000.0
chromepet,941,0,2,0,0,0,0,0,0,0,0,0,0,0,6580000.0
ullagaram,809,0,2,0,0,0,0,0,0,0,0,0,0,0,3315999.0
chromepet,924,0,2,0,0,0,0,0,0,0,0,0,0,0,7000000.0
nanmangalam,1008,0,2,0,0,0,0,0,0,0,0,0,0,0,4840000.0
nanmangalam,900,0,2,0,0,0,0,0,0,0,0,0,0,0,4140000.0
nehrunagar,1433,0,3,0,0,0,0,0,0,0,1,0,0,1,10500000.0
nanmangalam,805,0,2,0,0,0,0,0,0,0,0,0,0,0,3300000.0
nanmangalam,1198,0,3,0,0,0,0,0,0,0,0,0,0,0,6230000.0
nanmangalam,772,0,2,0,0,0,0,0,0,0,0,0,0,0,3247000.0
nanmangalam,930,0,2,0,0,0,0,0,0,0,0,0,0,0,4270000.0
nanmangalam,619,0,1,0,0,0,0,0,0,0,0,0,0,0,2960000.0
sunnambu kolathur,1002,0,2,0,0,0,0,0,0,0,0,0,0,0,5200000.0
sunnambu kolathur,1285,0,3,0,0,0,0,0,0,0,0,0,0,0,6684999.0
sunnambu kolathur,1028,0,2,0,0,0,0,0,0,0,0,0,0,0,5345000.0
nanmangalam,1117,1,2,0,0,0,0,0,0,0,0,0,0,0,5000000.0
nanmangalam,989,0,2,0,0,0,0,0,0,0,0,0,0,0,5145000.0
nanmangalam,935,0,2,0,0,0,0,0,0,0,0,0,0,0,4862000.0
nanmangalam,768,0,2,0,0,0,0,0,0,0,0,0,0,0,3993000.0
nanmangalam,881,0,2,0,0,0,0,0,0,0,0,0,0,0,4581000.0
nanmangalam,867,0,2,0,0,0,0,0,0,0,0,0,0,0,4500000.0
nanmangalam,1115,0,3,0,0,0,0,0,0,0,0,0,0,0,5798000.0
nanmangalam,1197,0,3,0,0,0,0,0,0,0,0,0,0,0,6224000.0
nanmangalam,941,0,2,0,0,0,0,0,0,0,0,0,0,0,4893000.0
nanmangalam,1037,0,2,0,0,0,0,0,0,0,0,0,0,0,5392000.0
adambakkam,1293,0,3,0,0,0,0,0,0,0,0,0,0,1,10000000.0
navallur,900,0,2,0,0,0,0,0,0,0,0,0,0,0,5700000.0
nanmangalam,760,0,2,0,0,0,0,0,0,0,0,0,0,0,3100000.0
kovur,1066,0,2,0,0,0,1,1,1,0,1,1,1,1,5116000.0
kovur,1452,0,3,0,0,0,1,1,1,0,1,1,1,1,6969000.0
kovur,1350,0,3,0,0,0,1,1,1,0,1,1,1,1,6480000.0
kovur,924,0,2,0,0,0,1,1,1,0,1,1,1,1,4435000.0
kovur,1369,0,3,0,0,0,1,1,1,0,1,1,1,1,6570999.0
kovur,1175,0,2,0,0,0,1,1,1,0,1,1,1,1,5640000.0
kovur,615,0,2,0,0,0,1,1,1,0,1,1,1,1,2952000.0
sunnambu kolathur,952,0,2,0,0,0,0,0,0,0,0,0,0,1,5200000.0
pazavanthangal,460,1,1,0,0,0,0,0,0,0,0,0,0,0,2200000.0
avadi,675,0,2,0,0,0,1,1,0,1,1,0,1,1,2300000.0
madhavaram,877,0,2,0,0,0,0,0,0,0,0,0,0,1,3946000.0
madhavaram,780,0,2,0,0,0,0,0,0,0,0,0,0,1,3510000.0
sholinganallur,1018,0,2,0,0,0,0,0,0,0,0,0,0,1,5599000.0
sholinganallur,1000,0,2,0,0,0,0,0,0,0,0,0,0,1,5500000.0
sholinganallur,1050,0,2,0,0,0,0,0,0,0,0,0,0,1,5775000.0
sholinganallur,1100,0,2,0,0,0,0,0,0,0,0,0,0,1,6050000.0
thatchoor,1025,0,2,0,0,0,1,1,0,1,1,0,1,1,4500000.0
thiruverkadu,570,0,1,0,0,0,1,1,1,1,1,1,1,1,2600000.0
perungudi,2000,1,3,0,0,0,0,0,0,0,1,0,1,1,13200000.0
sholinganallur,1546,0,3,0,0,0,1,1,0,1,1,0,1,1,7500000.0
karapakkam,1599,0,3,0,0,0,1,1,0,1,1,0,1,1,10000000.0
karapakkam,1296,0,3,0,0,0,1,1,0,1,1,0,1,1,8000000.0
nanmangalam,810,0,2,0,0,0,0,0,0,0,0,0,0,0,3645000.0
manikandan nagar,952,0,2,0,0,0,0,0,0,0,0,0,0,1,5221000.0
sholinganallur,1060,0,2,0,0,0,1,0,0,0,1,0,1,1,6300000.0
kilkattalai,930,0,2,0,0,0,0,0,0,0,0,0,0,1,5100000.0
ullagaram,910,0,2,0,0,0,0,0,0,0,0,0,0,1,4994000.0
nandambakkam,1641,0,3,0,0,0,0,0,0,0,1,0,1,1,8675000.0
ambattur,1100,0,3,0,0,0,0,0,0,0,1,0,0,1,4510000.0
thirumullaivoyal,726,0,2,0,0,0,0,0,0,0,0,0,0,1,2976000.0
cholambedu,756,0,2,0,0,0,0,0,0,0,0,0,0,0,3099000.0
cholambedu,803,0,2,0,0,0,0,0,0,0,0,0,0,0,3051000.0
cholambedu,743,0,2,0,0,0,0,0,0,0,0,0,0,0,2823000.0
ambattur,600,0,2,0,0,0,0,0,0,0,0,0,0,0,2850000.0
cholambedu,726,0,2,0,0,0,0,0,0,0,0,0,0,1,2975000.0
thiruverkadu,1337,0,3,0,0,0,1,1,1,0,1,1,0,1,6343000.0
thiruverkadu,1160,0,2,0,0,0,1,1,1,0,1,1,0,1,5519000.0
thiruverkadu,571,0,1,0,0,0,1,1,1,0,1,1,0,1,2777000.0
thiruverkadu,555,0,1,0,0,0,1,1,1,0,1,1,0,1,2703000.0
thiruverkadu,1184,0,2,0,0,0,1,1,1,0,1,1,0,1,5630000.0
thiruverkadu,563,0,1,0,0,0,1,1,1,0,1,1,0,1,2740000.0
thiruverkadu,1165,0,2,0,0,0,1,1,1,0,1,1,0,1,5542000.0
thiruverkadu,1004,0,2,0,0,0,1,1,1,0,1,1,0,1,4793000.0
thiruverkadu,568,0,1,0,0,0,1,1,1,0,1,1,0,1,2763000.0
thiruverkadu,1211,0,2,0,0,0,1,1,1,0,1,1,0,1,5756000.0
thiruverkadu,560,0,1,0,0,0,1,1,1,0,1,1,0,1,2726000.0
velachery,1217,1,2,0,0,0,1,0,0,0,1,0,1,1,11000000.0
iyyappanthangal,1990,1,2,1,1,1,1,1,1,1,1,1,1,1,13000000.0
vanagaram,1098,1,2,0,0,0,0,0,0,0,0,0,0,1,5500000.0
perungudi,1558,0,2,0,0,0,1,0,1,1,1,0,1,1,11299999.0
padur,1441,0,3,0,0,0,0,0,0,0,0,0,0,0,7200000.0
padur,1147,0,2,0,0,0,0,0,0,0,0,0,0,0,5200000.0
rajakilpakkam,962,0,2,0,0,0,1,1,0,1,1,0,1,1,7200000.0
navallur,2150,0,3,0,0,0,1,1,0,1,1,0,1,1,17600000.0
navallur,1525,1,3,0,0,0,1,1,1,1,1,1,1,1,11500000.0
karapakkam,1348,0,3,0,0,0,1,1,0,1,1,0,1,1,8200000.0
karapakkam,1307,0,3,0,0,0,1,1,0,1,1,0,1,1,8000000.0
karapakkam,1027,0,2,0,0,0,1,1,0,1,1,0,1,1,7000000.0
navallur,1765,0,3,0,0,0,1,1,1,1,1,1,1,1,13600000.0
navallur,1524,0,3,0,0,0,1,1,1,1,1,1,1,1,10400000.0
navallur,1525,0,3,0,0,0,1,1,1,1,1,1,1,1,10500000.0
iyyappanthangal,610,0,1,0,0,0,1,1,0,1,1,0,1,1,3199000.0
mambakkam,1152,0,2,0,0,0,0,0,0,0,0,0,0,0,5700000.0
mambakkam,999,0,2,0,0,0,1,1,0,1,1,0,1,1,5000000.0
egattur,1298,0,2,0,0,0,1,1,0,1,1,0,1,1,9000000.0
karapakkam,1024,0,2,0,0,0,1,1,0,1,1,0,1,1,6500000.0
thatchoor,690,0,2,0,0,0,1,1,0,1,1,0,1,1,2900000.0
porur,1364,0,3,0,0,0,1,0,0,0,1,0,1,1,9000000.0
semmancheri,2021,0,4,0,0,0,1,1,0,1,1,0,1,1,9400000.0
sholinganallur,1443,0,3,0,0,0,1,1,0,1,1,0,1,1,7000000.0
maduravoyal,1020,0,2,0,0,0,1,0,0,1,1,0,1,1,5400000.0
maduravoyal,1045,0,2,0,0,0,1,1,0,1,1,0,1,1,5400000.0
maduravoyal,1045,0,2,0,0,0,1,1,0,1,0,0,1,1,5400000.0
maduravoyal,1020,0,2,0,0,0,1,1,0,1,1,0,1,1,5698000.0
maduravoyal,1020,0,2,0,0,0,1,1,0,1,1,0,1,1,5700000.0
maduravoyal,1075,0,2,0,0,0,1,1,0,0,1,0,0,1,5800000.0
maduravoyal,1020,0,2,0,0,0,1,0,0,0,1,0,1,1,5400000.0
maduravoyal,1045,0,2,0,0,0,1,0,0,0,1,0,1,1,5450000.0
iyyappanthangal,2475,1,4,1,1,1,1,1,1,1,1,1,1,1,17000000.0
medavakkam,1735,1,3,0,0,0,1,1,1,1,1,1,1,1,7700000.0
pammal,711,0,2,0,0,0,0,0,0,0,0,0,0,0,3270000.0
pammal,600,0,2,0,0,0,0,0,0,0,0,0,0,0,2760000.0
virugambakkam,1704,0,3,1,1,1,1,1,1,0,1,1,1,1,16399999.0
virugambakkam,1464,0,3,1,1,1,1,1,1,0,1,1,1,1,14000000.0
peerakankaranai,1546,0,3,0,0,0,0,0,0,0,0,0,1,1,8300000.0
peerakankaranai,1093,0,2,0,0,0,0,0,0,0,1,0,0,1,6100000.0
peerakankaranai,1066,0,2,0,0,0,0,0,0,0,0,0,1,1,6000000.0
peerakankaranai,984,0,2,0,0,0,0,0,0,0,1,0,1,1,5500000.0
peerakankaranai,947,0,2,0,0,0,0,0,0,0,0,0,1,1,5400000.0
peerakankaranai,1228,0,2,0,0,0,1,0,0,0,0,0,0,1,6700000.0
moolakadai,1301,0,3,0,0,0,1,1,0,1,1,0,1,1,9000000.0
kelambakkam,1367,0,2,1,1,0,1,1,1,1,1,1,1,1,6000000.0
poonamallee,1740,0,3,0,0,0,1,1,0,1,0,1,1,1,10300000.0
poonamallee,1740,0,3,0,0,0,1,1,0,1,1,1,1,1,10300000.0
poonamallee,1500,0,3,0,0,0,1,1,0,1,1,1,1,1,8700000.0
poonamallee,1335,0,2,0,0,0,1,1,0,1,1,1,1,1,7800000.0
iyyappanthangal,1825,1,3,1,1,1,1,1,1,0,1,1,1,1,13500000.0
navallur,2150,1,3,1,0,0,1,1,1,1,1,1,1,1,17000000.0
navallur,1749,1,2,0,0,0,1,1,0,1,1,1,1,1,10500000.0
navallur,1749,1,2,0,0,0,1,1,1,1,1,1,1,1,11500000.0
navallur,2451,1,3,0,0,0,1,1,0,1,1,0,1,1,17000000.0
navallur,1295,1,2,0,0,0,1,1,1,1,1,1,1,1,7700000.0
navallur,1445,0,3,0,0,0,1,1,1,0,1,1,1,1,10000000.0
navallur,1435,1,3,1,0,0,1,1,1,1,1,1,1,1,11000000.0
navallur,3487,1,3,0,0,0,1,1,0,1,1,0,1,0,30000000.0
siruseri,2010,1,3,0,0,0,0,0,0,0,0,0,0,0,7500000.0
sunnambu kolathur,1460,0,3,0,0,0,0,0,0,0,1,0,0,1,8100000.0
sunnambu kolathur,952,0,2,0,0,0,0,0,0,0,1,0,0,1,5300000.0
sunnambu kolathur,910,0,2,0,0,0,0,0,0,0,1,0,0,1,4800000.0
sunnambu kolathur,570,0,1,0,0,0,0,0,0,0,1,0,0,1,3300000.0
perungudi,1888,0,3,0,0,0,1,1,0,1,1,1,1,1,15000000.0
perungudi,1665,0,3,0,0,0,1,1,0,1,1,1,1,1,13500000.0
perungudi,1434,0,2,0,0,0,1,1,0,0,1,1,1,0,11500000.0
perungudi,1434,0,2,0,0,0,1,1,0,1,1,1,1,1,11500000.0
thoraipakkam,1850,1,3,0,0,0,1,1,1,1,1,1,1,1,13000000.0
thoraipakkam,1671,0,3,0,0,0,1,0,0,0,1,0,1,1,10300000.0
thoraipakkam,1286,0,2,0,0,0,1,0,0,0,1,0,1,1,7900000.0
velappanchavadi,1112,0,2,0,0,0,1,1,0,0,1,0,1,1,6500000.0
velappanchavadi,1414,0,3,0,0,0,1,1,0,0,0,0,0,1,9200000.0
velappanchavadi,1414,0,3,0,0,0,1,1,0,0,1,0,1,1,9200000.0
thoraipakkam,1827,0,4,0,0,0,1,0,0,0,1,0,1,1,11299999.0
nanmangalam,752,0,2,0,0,0,0,0,0,0,1,0,0,1,3386999.0
nanmangalam,760,0,2,0,0,0,0,0,0,0,1,0,0,1,3192000.0
avadi,639,0,2,0,0,0,0,0,0,0,0,0,0,0,2725000.0
perumbakkam,949,0,2,0,0,0,1,0,1,0,1,0,1,1,4500000.0
perumbakkam,901,0,2,0,0,0,1,0,1,0,1,0,1,1,4000000.0
semmancheri,1120,0,2,0,0,0,1,0,0,0,1,0,1,1,6600000.0
semmancheri,1065,0,2,0,0,0,1,0,0,0,1,0,1,1,6300000.0
semmancheri,1070,0,2,0,0,0,1,0,0,0,1,0,1,1,6400000.0
t nagar,1100,1,3,0,0,0,0,0,0,0,1,0,0,0,9900000.0
ekkatuthangal,980,1,2,0,0,0,0,0,0,0,1,0,0,1,7600000.0
sholinganallur,1110,0,2,0,0,0,0,0,0,0,0,0,0,0,6600000.0
sholinganallur,1110,0,2,0,0,0,1,0,0,0,1,0,1,1,6600000.0
sholinganallur,980,0,2,0,0,0,1,0,0,0,1,0,1,1,5900000.0
avadi,645,0,2,0,0,0,0,0,0,0,0,0,0,0,2725000.0
avadi,639,0,2,0,0,0,0,1,0,1,1,0,0,1,2725000.0
avadi,639,0,2,0,0,0,1,1,0,1,1,0,0,1,2725000.0
nungambakkam,7240,0,5,0,0,0,1,1,1,0,1,0,1,1,190000000.0
nungambakkam,5777,0,5,0,0,0,1,1,1,0,1,0,1,1,150000000.0
nungambakkam,3800,0,4,0,0,0,1,1,1,0,0,0,0,1,90000000.0
nungambakkam,3800,0,4,0,0,0,1,1,1,0,1,0,1,1,90000000.0
perambur,591,0,1,0,0,0,0,0,0,0,0,0,0,1,4300000.0
royapettah,6500,0,5,0,0,0,1,1,1,0,1,1,1,1,127000000.0
royapettah,2958,0,4,0,0,0,1,1,1,0,1,1,1,1,57500000.0
royapettah,1200,0,2,0,0,0,1,1,1,0,1,1,1,1,23000000.0
royapettah,600,0,1,0,0,0,1,1,1,1,1,1,1,1,11500000.0
perumbakkam,901,0,2,0,0,0,1,0,1,0,1,0,1,1,4200000.0
urapakkam,909,0,2,0,0,0,0,0,0,0,0,0,0,0,3400000.0
urapakkam,865,0,2,0,0,0,0,0,0,0,0,0,0,0,3200000.0
urapakkam,789,0,2,0,0,0,0,0,0,0,0,0,0,0,2900000.0
iyyappanthangal,545,0,1,0,0,0,0,0,0,0,0,1,0,0,3400000.0
nandanam,1100,1,2,0,0,0,0,0,0,0,0,0,0,0,8500000.0
t nagar,1624,0,3,0,0,0,1,0,0,0,1,0,1,1,32000000.0
anna nagar,1161,0,3,0,0,0,1,0,0,0,0,0,0,1,15600000.0
sholinganallur,1796,1,3,1,1,1,1,1,1,0,1,0,1,0,11200000.0
sholinganallur,1796,1,3,1,1,1,1,1,1,0,1,0,1,1,11200000.0
madipakkam,1480,0,3,0,0,0,0,0,0,0,1,0,0,1,7700000.0
madipakkam,610,0,1,0,0,0,0,0,0,0,0,0,0,0,3100000.0
madipakkam,610,0,1,0,0,0,0,0,0,0,1,0,0,1,3100000.0
kovur,614,0,1,0,0,0,1,1,1,0,1,1,1,1,3069000.0
sholinganallur,1140,0,2,0,0,0,1,0,0,0,1,0,1,1,6750000.0
sholinganallur,1070,0,2,0,0,0,1,0,0,0,1,0,1,1,6350000.0
sholinganallur,1065,0,2,0,0,0,1,0,0,0,1,0,1,1,6300000.0
sholinganallur,1120,0,2,0,0,0,1,0,0,0,1,0,1,1,6600000.0
guduvancheri,909,0,2,0,0,0,1,0,0,0,1,0,1,0,3409000.0
guduvancheri,861,0,2,0,0,0,1,0,0,0,1,0,1,0,3242000.0
sholinganallur,980,0,2,0,0,0,1,0,0,0,0,0,0,0,5900000.0
kilkattalai,595,0,1,0,0,0,0,0,0,0,0,0,0,1,3180000.0
manikandan nagar,590,0,1,0,0,0,0,0,0,0,0,0,0,1,3127000.0
sholinganallur,1090,0,2,0,0,0,1,0,0,0,0,0,0,0,6500000.0
sholinganallur,1090,0,2,0,0,0,1,0,0,0,1,0,1,1,6500000.0
kilkattalai,956,0,2,0,0,0,0,0,0,0,0,0,0,1,5150000.0
sunnambu kolathur,574,0,1,0,0,0,0,0,0,0,0,0,0,1,3050000.0
ullagaram,1468,0,3,0,0,0,0,0,0,0,0,0,0,0,7650000.0
ullagaram,1468,0,3,0,0,0,0,0,0,0,0,0,0,1,7650000.0
sunnambu kolathur,1464,0,3,0,0,0,0,0,0,0,0,0,0,1,7650000.0
madipakkam,1462,0,3,0,0,0,0,0,0,0,0,0,0,1,7700000.0
kovilambakkam,1460,0,3,0,0,0,0,0,0,0,0,0,0,1,7733000.0
sunnambu kolathur,1256,0,2,0,0,0,0,0,0,0,0,0,0,1,6550000.0
kilkattalai,1254,0,2,0,0,0,0,0,0,0,0,0,0,1,6600000.0
kovilambakkam,1252,0,2,0,0,0,0,0,0,0,0,0,0,0,6600000.0
sunnambu kolathur,1220,0,2,0,0,0,0,0,0,0,0,0,0,1,6450000.0
ullagaram,570,0,1,0,0,0,0,0,0,0,0,0,0,1,3021000.0
nanmangalam,730,0,2,0,0,0,0,0,0,0,1,0,0,0,3547000.0
nanmangalam,852,0,2,0,0,0,0,0,0,0,0,0,0,1,3578000.0
nanmangalam,815,0,2,0,0,0,0,0,0,0,0,0,0,0,3667000.0
navallur,2345,1,4,1,0,0,1,1,1,1,1,1,1,1,16500000.0
perumbakkam,1550,0,2,1,1,1,1,1,1,1,1,1,1,1,7000000.0
sholinganallur,1691,1,2,0,0,0,1,1,1,0,1,1,1,1,11000000.0
iyyappanthangal,1140,0,1,0,0,0,1,1,0,0,1,0,1,1,6800000.0
iyyappanthangal,1700,0,2,0,0,0,1,1,0,0,1,0,1,1,10200000.0
alandur,1750,1,3,0,0,0,1,1,1,1,1,1,1,1,15000000.0
iyyappanthangal,1825,1,3,1,1,1,1,1,1,0,1,1,1,1,12200000.0
nanmangalam,1200,0,3,0,0,0,0,0,0,0,0,0,0,0,5760000.0
nanmangalam,767,0,2,0,0,0,0,0,0,0,0,0,0,0,3681000.0
nanmangalam,954,0,2,0,0,0,0,0,0,0,0,0,0,0,4006000.0
nanmangalam,920,0,2,0,0,0,0,0,0,0,0,0,0,1,4416000.0
nanmangalam,794,0,2,0,0,0,0,0,0,0,0,0,0,1,3811000.0
nanmangalam,805,0,2,0,0,0,0,0,0,0,1,0,0,1,3381000.0
nanmangalam,787,0,2,0,0,0,0,0,0,0,1,0,0,1,3797999.0
nanmangalam,794,0,2,0,0,0,0,0,0,0,1,0,0,1,3572999.0
nanmangalam,1123,0,3,0,0,0,0,0,0,0,0,0,0,1,6176000.0
nanmangalam,853,0,2,0,0,0,0,0,0,0,0,0,0,0,4265000.0
nanmangalam,767,0,2,0,0,0,0,0,0,0,0,0,0,0,3451000.0
nanmangalam,959,0,2,0,0,0,0,0,0,0,0,0,0,0,4603000.0
nanmangalam,925,0,2,0,0,0,0,0,0,0,0,0,0,0,4440000.0
nanmangalam,952,0,2,0,0,0,0,0,0,0,1,0,0,0,4569000.0
nanmangalam,870,0,2,0,0,0,0,0,0,0,0,0,0,0,4176000.0
nanmangalam,935,0,2,0,0,0,0,0,0,0,0,0,0,1,4207000.0
nanmangalam,916,0,2,0,0,0,0,0,0,0,1,0,0,1,4304000.0
nanmangalam,672,0,2,0,0,0,0,0,0,0,1,0,0,1,3427000.0
nanmangalam,841,0,2,0,0,0,0,0,0,0,0,0,0,1,4289000.0
pallikaranai,2168,1,3,1,1,1,1,1,1,0,1,1,1,1,10800000.0
padur,2232,0,3,0,0,0,1,0,0,0,1,0,1,1,10000000.0
pallikaranai,2700,0,2,1,1,1,1,1,1,0,1,1,0,1,12500000.0
pallikaranai,1942,0,2,1,1,1,1,1,1,1,1,1,1,1,9000000.0
adyar,2380,0,4,0,0,0,1,0,1,0,1,1,1,1,34000000.0
virugambakkam,1913,1,3,0,0,0,1,1,1,0,1,0,0,1,19000000.0
ayanambakkam,2089,1,4,0,0,0,1,1,1,0,1,1,1,1,13200000.0
navallur,1970,1,3,1,0,0,1,1,1,1,1,1,1,1,15700000.0
manikandan nagar,802,0,2,0,0,0,0,0,0,0,0,0,0,1,5011000.0
manikandan nagar,802,0,2,0,0,0,0,0,0,0,0,0,0,1,4449000.0
manikandan nagar,880,0,2,0,0,0,0,0,0,0,1,0,0,1,5440000.0
manikandan nagar,1045,0,2,0,0,0,0,0,0,0,0,0,0,1,5747000.0
manikandan nagar,867,0,2,0,0,0,0,0,0,0,0,0,0,0,4674000.0
manikandan nagar,867,0,2,0,0,0,0,0,0,0,0,0,0,1,4674000.0
kovilambakkam,994,0,2,0,0,0,0,0,0,0,0,0,0,1,4771000.0
manikandan nagar,1126,0,3,0,0,0,0,0,0,0,0,0,0,1,6193000.0
manikandan nagar,1166,0,3,0,0,0,0,0,0,0,0,0,0,1,6413000.0
kovilambakkam,750,0,2,0,0,0,0,0,0,0,1,0,0,1,4425000.0
kovilambakkam,810,0,2,0,0,0,0,0,0,0,0,0,0,0,4731000.0
medavakkam,908,0,2,0,0,0,0,0,0,0,0,0,0,0,4540000.0
medavakkam,908,0,2,0,0,0,0,0,0,0,1,0,0,0,4540000.0
medavakkam,938,0,2,0,0,0,0,0,0,0,0,0,0,0,4408000.0
medavakkam,938,0,2,0,0,0,0,0,0,0,1,0,0,1,4408000.0
medavakkam,942,0,2,0,0,0,0,0,0,0,1,0,0,0,4333000.0
medavakkam,910,0,2,0,0,0,0,0,0,0,1,0,0,1,4186000.0
medavakkam,884,0,2,0,0,0,0,0,0,0,1,0,0,0,4420000.0
medavakkam,858,0,2,0,0,0,0,0,0,0,0,0,0,0,4032000.0
medavakkam,960,0,2,0,0,0,0,0,0,0,1,0,0,1,4512000.0
medavakkam,850,0,2,0,0,0,0,0,0,0,1,0,0,0,4930000.0
medavakkam,816,0,2,0,0,0,0,0,0,0,1,0,0,1,3835000.0
medavakkam,800,0,2,0,0,0,0,0,0,0,1,0,0,1,4640000.0
medavakkam,928,0,2,0,0,0,0,0,0,0,0,0,0,0,4268000.0
medavakkam,928,0,2,0,0,0,0,0,0,0,1,0,0,0,4268000.0
kilkattalai,1256,0,3,0,0,0,0,0,0,0,1,0,0,1,7536000.0
kilkattalai,882,0,2,0,0,0,0,0,0,0,0,0,0,0,5551000.0
kilkattalai,883,0,2,0,0,0,0,0,0,0,1,0,0,1,5115000.0
kilkattalai,1022,0,2,0,0,0,0,0,0,0,1,0,0,1,6132000.0
kilkattalai,914,0,2,0,0,0,0,0,0,0,1,0,0,1,5027000.0
kilkattalai,931,0,2,0,0,0,0,0,0,0,0,0,0,0,5255000.0
kilkattalai,947,0,2,0,0,0,0,0,0,0,0,0,0,1,5435000.0
kilkattalai,1163,0,3,0,0,0,0,0,0,0,0,0,0,1,5815000.0
kilkattalai,1158,0,3,0,0,0,0,0,0,0,0,0,0,1,5790000.0
medavakkam,1037,0,2,0,0,0,0,0,0,0,1,0,0,1,4873000.0
medavakkam,1163,0,3,0,0,0,0,0,0,0,1,0,0,1,6629000.0
karapakkam,1288,0,1,0,0,0,1,1,0,0,1,1,1,1,8000000.0
pozhichalur,873,0,2,0,0,0,0,0,0,0,0,0,0,0,4500000.0
perungudi,2456,1,3,0,0,0,1,1,0,0,0,0,1,0,27500000.0
perungudi,2456,1,3,0,0,0,1,1,0,0,0,0,1,1,27500000.0
sholinganallur,1705,1,3,0,0,0,1,1,0,1,0,0,1,1,8800000.0
iyyappanthangal,1990,1,3,1,1,1,1,1,1,0,1,1,1,1,13000000.0
madipakkam,1400,0,3,0,0,0,1,1,0,0,1,1,1,1,9400000.0
iyyappanthangal,1825,1,3,1,1,1,1,1,1,1,1,1,1,1,13500000.0
navallur,1504,0,3,0,0,0,1,1,1,1,1,1,1,1,8500000.0
velachery,2680,0,4,0,0,0,1,1,0,0,1,1,1,1,31500000.0
thoraipakkam,1353,0,3,0,0,0,1,1,1,0,1,1,0,1,9500000.0
nanmangalam,919,0,2,0,0,0,0,0,0,0,0,0,0,1,5054000.0
nanmangalam,737,0,2,0,0,0,0,0,0,0,0,0,0,0,3495000.0
nanmangalam,797,0,2,0,0,0,0,0,0,0,0,0,0,0,4144000.0
nanmangalam,852,0,2,0,0,0,0,0,0,0,0,0,0,0,3834000.0
nanmangalam,895,0,2,0,0,0,0,0,0,0,0,0,0,0,4296000.0
vellakkal,945,0,2,0,0,0,0,0,0,0,0,0,0,0,4536000.0
nanmangalam,920,0,2,0,0,0,0,0,0,0,0,0,0,0,4416000.0
nanmangalam,832,0,2,0,0,0,0,0,0,0,0,0,0,0,3744000.0
nanmangalam,872,0,2,0,0,0,0,0,0,0,0,0,0,0,3924000.0
nanmangalam,713,0,2,0,0,0,0,0,0,0,0,0,0,0,3429999.0
